auc,model_name,isTotalTrain,isInit,PATIENCE,len_allele,len_peptide,len_acid,EPOCH,BATCH_SIZE,LR,isL1Smooth,Dropout,threshold,l1,ita,HIDDEN_SIZE,LAYER_NUM,head
0.969072993,b512_DP0.5_l10.001_hidden256_layer2_ita0.1_head4,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.5,500,0.001,0.1,256,2,4
0.964832335,b512_DP0.1_l10.01_hidden256_layer1_ita0.3_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0.01,0.3,256,1,2
0.967966003,b512_DP0.1_l10.01_hidden128_layer1_ita0.3_head4,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0.01,0.3,128,1,4
0.975993367,b512_DP0.3_l10.01_hidden256_layer1_ita0.3_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.3,500,0.01,0.3,256,1,2
0.969394027,b512_DP0.1_l10_hidden128_layer1_ita0.3_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0,0.3,128,1,2
0.961431666,b512_DP0.5_l10_hidden256_layer1_ita0.3_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.5,500,0,0.3,256,1,2
0.967948338,b512_DP0.1_l10_hidden128_layer1_ita0.2_head6,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0,0.2,128,1,6
0.973246326,b512_DP0.3_l10.001_hidden256_layer1_ita0.2_head4,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.3,500,0.001,0.2,256,1,4
0.971853151,b512_DP0.3_l10.001_hidden128_layer1_ita0.2_head4,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.3,500,0.001,0.2,128,1,4
0.973287291,b512_DP0.5_l10.001_hidden256_layer1_ita0.3_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.5,500,0.001,0.3,256,1,2
0.975811346,b512_DP0.1_l10.001_hidden128_layer1_ita0.2_head4,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0.001,0.2,128,1,4
0.971279145,b512_DP0.3_l10.001_hidden128_layer2_ita0.3_head4,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.3,500,0.001,0.3,128,2,4
